cursor_positions,"{2939: (720, 810), 2953: (720, 810), 2968: (720, 810), 2981: (720, 810), 2996: (720, 810), 3010: (720, 810), 3023: (720, 810), 3036: (720, 810), 3051: (720, 810), 3066: (720, 810), 3079: (720, 809), 3092: (721, 802), 3106: (730, 784), 3120: (740, 759), 3134: (751, 731), 3149: (757, 717), 3164: (776, 667), 3177: (798, 616), 3190: (812, 586), 3204: (841, 518), 3218: (864, 470), 3232: (896, 410), 3245: (911, 387), 3258: (932, 350), 3271: (949, 322), 3285: (955, 311), 3299: (966, 290), 3313: (974, 275), 3327: (980, 261), 3340: (984, 253), 3354: (989, 242), 3367: (994, 232), 3381: (997, 228), 3395: (1005, 211), 3410: (1012, 200), 3422: (1016, 195), 3436: (1022, 185), 3450: (1025, 180), 3466: (1027, 177), 3479: (1027, 177), 3494: (1028, 176), 3507: (1028, 176), 3520: (1029, 173), 3534: (1031, 170), 3549: (1031, 170), 3561: (1031, 170), 3575: (1031, 170), 3589: (1031, 170), 3604: (1031, 170), 3617: (1031, 170), 3631: (1031, 170)}"
target_selected,0
is_right,1
start_time,22991
stimulus_start_time,923
stimulus_end_time,2939
movement_end_time,3646
feedback_end_time,3848
trial_end_time,4850
is_correct,0
