cursor_positions,"{2762: (720, 804), 2776: (724, 795), 2790: (728, 787), 2803: (733, 780), 2819: (742, 760), 2832: (755, 732), 2845: (761, 718), 2860: (778, 685), 2873: (798, 651), 2886: (816, 621), 2900: (824, 608), 2915: (839, 579), 2928: (855, 549), 2940: (862, 535), 2954: (879, 505), 2968: (896, 474), 2982: (906, 461), 2996: (916, 444), 3009: (929, 425), 3022: (935, 418), 3036: (943, 405), 3050: (956, 385), 3064: (962, 372), 3077: (966, 361), 3090: (972, 348), 3103: (979, 326), 3118: (984, 310), 3132: (985, 302), 3146: (989, 288), 3159: (996, 271), 3173: (1000, 262), 3188: (1003, 252), 3203: (1011, 238), 3218: (1016, 228), 3230: (1018, 225), 3245: (1022, 218), 3259: (1028, 210), 3272: (1034, 204), 3285: (1038, 199), 3298: (1043, 193), 3312: (1050, 182), 3325: (1053, 179), 3340: (1059, 170)}"
target_selected,2
is_right,1
start_time,8985
stimulus_start_time,943
stimulus_end_time,2762
movement_end_time,3354
feedback_end_time,3556
trial_end_time,4559
is_correct,1
